device_make	device_model	_col2
Mobicel	F50	38
sprd	P20	9
TCL	9061	17
DEPLAY	PRO4	1
incar	Star9_Pro	21
Xiaomi	Redmi Note 8 (2021)	23
Skyth	Z118-EEA	5
samsung	SM-T867	10
MICRODIGIT	MEG11	12
TCL	Wind Tab 10	1
OPPO	PFFM20	2
OUKITEL	WP28 S	4
Hena	GATM11033	1
HEADWOLF	Wpad3	1
motorola	moto g(7)	2075
motorola	moto g84 5G	33313
realme	RMX3231	30236
ITEL	itel A665L	18926
OPPO	CPH2069	1783
TCL	9132G	631
motorola	motorola edge plus	388
TECNO MOBILE	TECNO Mobile LH8n	188
Sony	SOG04	1601
TCL	T781	196
Xiaomi	2409FPCC4I	1198
Relndoo	P80	592
General Mobile	G510	582
samsung	SM-A236U1	552
Foxx	A55AM	18
OnePlus	CPH2655	51
Blackview	Tab 7 Pro	772
incar	D113	41
HUAWEI	POT-LX1A	354
samsung	SM-G736U1	51
nubia	K99J	28
TCL	T790W	265
BND	BlueS10	22
DOOGEE	S cyber	98
Leiren	TLPAD001	162
AGM	AGM_PAD_P2	150
AWOW	CUBTAB_1001	54
Teclast	M50HD_ROW	236
TCL	8491X_RU	162
samsung	SM-G611L	26
MAJESTIC	TAB 720 PLUS	9
SPA Condor Electronics	NOVA 70	36
FCNT	F-53E	91
Lenovo	Lenovo L79031	23
DUODUOGO	Tablet	6
vsmart	Active 1+	14
Cidea	CM77	5
DOOGEE	U7	34
stack	T12	15
HUAWEI	PRA-LX2	8
alps	Fanvace M32	11
skythtek	K113_IN	3
samsung	SM-C5010	1
HEATZ	H10	1
Allwinner	K2401/K2401P/k2401M	1
ITEL	itel A632W	1
Fortune Ship	iKU A70	1
motorola	moto g(30)	13388
Xiaomi	23073RPBFL	10099
HONOR	ALI-NX3	9172
samsung	SM-T395	1075
samsung	SM-M307F	9182
samsung	SM-E055F	4770
samsung	SM-A315N	1013
samsung	SM-T540	130
DOOGEE	S99	313
DOOGEE	U11	1811
TECNO	TECNO CK8nB	717
Dcode Cygnal 3 Lite	DS-CL3 Lite	638
samsung	SM-T835N	489
motorola	moto g56 5G	82
Sony	I3223	50
HUAWEI	MAR-AL00	161
Dghrti	TAB30_EEA	60
samsung	SM-J701M	394
OALE	POP 9	4
samsung	SC-54D	126
INFINIX MOBILITY LIMITED	Infinix X660C	383
samsung	SM-X626B	104
positivo	Twist Tab Minions +	255
samsung	SM-F731W	290
TECNO	TECNO KM5	31
PEAQ	PET-10980-F628E	430
DIGMA	Optima 7 E200 3G TS7244PG	39
samsung	SM-J510F	55
Amazon	KFRASWI	520
Casper	VIA_P3	67
Aligator	Aligator_S6550	210
Meizu	meizu note8	332
Hisense	Hisense V50	46
HUAWEI	HDL-W09	221
HENA	BDLE716PR	11
RAVOZ	RAVOZ V6	41
STYLO	EBY33	23
IRIS	N30	14
VOVE	MatePadPro	50
alps	smartphone	5
NOTEBOOK13PRO	NOTEBOOK13PRO	5
IKU	A12	16
ZTE	ZTE T1002	54
DIGMA	Optima 1440E 4G TS1269PL	8
GreenLion	G-10 PRO	50
Pixus	Ride_3G	4
coolpad	K11	16
ZUNYI	i15 pro max	3
HUAWEI	ELS-AN00	7
Hisense	Hisense E50i	13
vivo	V2143A	5
DCODE	DS-X1	3
Lenovo	Lenovo TB-8704X	5
alps	Note_40_Pro+_5G	5
alps	M20	1
Sony	XQ-AD51	1
Sony	G3121	5
Hisense	Hisense U50 Lite	1
motorola	moto g05	14917
OPPO	CPH2083	15468
vivo	vivo 1907	9139
vivo	V2120	7406
HONOR	BRP-NX3	4244
Xiaomi	2502FRA65G	2472
lenovo	Lenovo K12 Note	342
GreatWall	DTECH10	196
Deploy PVT LTD	Sparx Neo 5 Plus	971
motorola	motorola edge 50 ultra	656
HUAWEI	MAO-LX9	914
Sony	SOG02	716
Sony	J9110	362
TCL	T613P	627
wheatek	RT8	236
Digiland	R11	168
CHAINWAY	C66	64
FULL TECHNOLOGY TRADE LIMITED	IDOL	70
TCL	T702W	940
GVPNT	GVPNT	262
AvidPad	S60	269
Vortex	ZG55	80
Blackview	BL8800Pro	136
vivo	I2409	167
Sony	SOG03	311
OnePlus	CPH2609	474
SHARP	SHV45	665
hena	X104-EEA	12
miracle_tap	miracle_tap_10	84
TECNO MOBILE	TECNO Mobile KI7	385
TPAD	TPAD-T30B	58
Gigaset	GS290	325
Masstel	Masstel Tab 11 Pro 4G	2
realme	RMX5061	170
KONSIKING	T-10	62
ITEL	itel S663L	74
DEXP	H21	137
HANET	T432	8
samsung	SM-A600AZ	5
VANWIN-V62	VANWIN-V62	90
SP	Pad8 Ultra	13
samsung	SM-T976N	19
TCL	9317G1	13
PREMIO	TAB 7.1	11
Sony	XQ-CQ54	34
realme	RMX3161	2
T28-EEA	T28-EEA	13
ROVER	R8	11
TCL	5028D	3
HONOR	LYN-AN00	6
android	KX20	1
LAVA	Magnum_Pro	1
Archos	Archos T 101 4G	1
samsung	SM-S931U	15868
samsung	SM-A207M	9324
Blackview	Tab 30 Kids	53
TECNO	TECNO CL6	11583
realme	RMX3085	27084
motorola	motorola edge (2022)	2506
vivo	V2060	5584
samsung	SM-A5660	856
vivo	V2026	3402
samsung	SM-A5560	3219
alps	X95	7
LENOVO	Lenovo TB-X304L	43
Sony	SOV37	857
TCL	T776O	34
HONOR	VNE-N41	1858
TCL	9465X	1094
Smart Products Connection SA	GRAVITY_4	245
NETMAXII	NETMAXII	129
Cherry Mobile	Magnum 11	269
incar	P31-wifi	50
samsung	SM-G9860	33
HUAWEI	BKL-L09	144
Shenzhen benton Technology Co., Ltd.	L10	543
ADVAN	6501	41
Universal Exports Group Ltd.	SILVERSTONE-T3	28
STYLO	MATRIX	21
samsung	SM-A205YN	144
wheatek	F101 P	5
AGM	AGM X3	138
AOSP	ViPro S20	63
TECNO MOBILE LIMITED	TECNO LC7	130
incar	VIVIMAGE_A10	24
Vortex	ZG65	60
HUAWEI	EVA-L19	40
DOOGEE	T10Pro	69
Sony	XQ-BQ42	214
AWOW	UTBook_15	45
incar	S10	53
Samsung	SM-T580	14
ACE France	BUZZ 5 Pro	13
DIGMA	Digma Pro PRIME 18 MS1003PL	114
LGE	LM-Q710.FGN	15
asus	ASUS_AI2205_D	17
Archos	Archos Oxygen 101S	55
XGODY	X32	98
UMIDIGI	A5_Pro	2
FoneHaus	MINTT_T11	18
G-Tab	Q6	13
WIKO	W-K211-TVM	5
ZTE	ZTE Blade 10 Vita	9
nubia	Z2474	5
LFE	S9	2
ATOZEE	ZB30	2
samsung	SM-A025U1	25
Stylo	Quantum	10
Xiaomi	2207122MC	11
POINTMOBILE	PM85	1
!Phoenix	i1000	4
ZTE	ZTE Blade V1000RU	1
Brandt	B-ONE	1
Meberry	M7	1
vivo	V2121A	1
Trayoo	Y106	104
OPPO	CPH2325	18155
HONOR	LLY-NX3	1842
vivo	V2059	15819
samsung	SCG25	996
Xiaomi	23076RA4BR	569
samsung	SM-M025F	4267
realme	RMX1911	876
Acer	M10-11	3022
realme	RMX2020	7037
vivo	V2217	1626
GTX	Jaculus V2	156
WIKO	WIKO T50	878
AvidPad	A90	110
Xiaomi	Mi MIX 2	439
China hainergy	HIP-T69	437
H800D	BELLATRIX	326
INFINIX	Infinix X6873	294
OPPO	OPD2419	341
HENA	AWTH1001	44
alps	A55-A	3
Multilaser	M8_4G	176
samsung	SM-T800	46
BENEVE	M_Q57	192
realme	RMX2083	61
HMD Global	Nokia G100	86
hena	TPC1013	261
Sony	SO51Aa	71
OPPO	CPH2303	22
incar	F13_EEA	40
ZTE	ZTE Blade A51RU	378
FROG	A12	22
JOYAR	CLEMPAD_2019	11
Xiaomi	Mi Pad 4	178
X95	X95	27
SHARP	SHG03	154
Crosscall	Core-Z5	38
HUAWEI	DRA-LX2	73
DIGMA	Kids A7 DA5B7P01	222
Infinix	Infinix X572	15
samsung	SM-G935K	54
Vanzo	PowerFiveMax2	16
Symphony	Symphony Z45	89
Aocwei	X300_EEA	5
OPPO	CPH2048	1
FIH	EC211004	19
LENOVO	Lenovo K8 Plus	26
DEXP	L310i	18
LGE	LGUS997	2
samsung	SM-G736W	31
Fortune Ship	DIGIT INFINITY	42
HIKING	JP2	3
Casper	CASPER_VIA_M3	8
Ulefone	Note 20 Pro	4
DIGMA_PRO	Pulse TA3D0P01	3
STYLO	ORION PLUS TAB 10	1
incar	Tab13Pro_NEU	4
realme	RMX3843	1
incar	OB-1021	2
S24_Ultra	S24_Ultra	1
Lenovo	TB328XU	15698
HUAWEI	STK-LX3	15655
LENOVO	TB311FU	16510
realme	RMX3890	25491
Xiaomi	21081111RG	18894
TECNO	TECNO KL5n	22093
Xiaomi	MI 9	3390
vivo	V2127	1361
HONOR	VNE-LX1	8560
samsung	SM-G570F	1140
samsung	SM-X828U	814
TECNO MOBILE LIMITED	TECNO CG7	208
HONOR	CMA-LX1	5569
OPPO	CPH2211	6390
hena	H38	540
Sony	SOG07	569
INFINIX	Infinix X6861	639
Alldocube	iPlay50 Pro	377
TECNO	TECNO KH6	497
OUKITEL	C21 Pro	391
OLAX	Magic Q8	46
Positivo	Twist 5 Max	8
INFINIX MOBILITY LIMITED	Infinix X690	1013
Teclast	P50S	363
Innovatech	BTSL1	66
WALTON	PRIMO F10	37
OPPO	PJU110	174
HIKING	A30	17
TCL	T609M	86
Samsung	SM-S928B	1
Philco	HIT P10a	37
HUAWEI	DLI-L42	66
Vortex	CB68	41
CALUS	SPARK C30 Pro	13
PRITOM	M10_C02_EEA	19
W&O	16 Pro max	37
ZTE	K87CA	57
incar	PicassoTab_XL	44
ZTE	Blade A72s	35
alps	K808	1
ZX	ZX	14
BEBE-TAB	B77Splus	5
Xiaomi	24053PY09C	5
Fusion5	F202_8G_EEA	5
samsung	SM-A800I	3
samsung	SM-T561	3
Dicle	Dicle_Dtab_Kpad	3
TCL	9024W	4
alps	S23pro	2
alps	Z Fold5	1
TECNO	TECNO CL7	1883
samsung	SM-A065F	75345
samsung	SM-A107M	6004
samsung	SM-A146P	19765
samsung	SM-G990B	17051
onn	100135921	3388
OPPO	CPH2495	23072
OPPO	A302OP	659
samsung	SM-A605G	1504
vivo	V2246	7674
Xiaomi	Redmi Note 7 Pro	6718
vivo	vivo 1920	8888
motorola	moto g(7) plus	1569
CUBOT	KINGKONG MINI2	108
Xiaomi	220733SPH	282
samsung	SM-A125U	1760
Deejoy	ZIDS702	53
LAVA	LAVA LXX507	1121
realme	RMX3751	57
samsung	SM-M446K	590
Nothing	AIN065	687
motorola	motorola one 5G	714
samsung	SM-E145F	837
TECNO MOBILE LIMITED	TECNO KE5	869
RAVOZ	RAVOZ V1	100
Lechpol	KM1008	96
LGE	LG-H931	66
samsung	SM-G887N	228
motorola	moto g 5G plus	779
samsung	SM-X300	238
Teclast	P20HD_EEA	547
samsung	SCG17	169
OnePlus	CPH2653	233
TCL	T780H	136
HMD Global	Nokia C02	122
DOOGEE	T30E	123
DOOGEE	DK10	106
LGE	LM-Q620	39
Chitech	E101	45
DOOGEE	S86Pro	11
meizu	meizu M10	18
Moorechip	Retroid Pocket 3 Plus	16
LENOVO	Lenovo TB-8705F	21
Sonimtech	XP9900	4
HUAWEI	KOB2K-L09	6
samsung	SM-G900V	2
TabPro	TabPro	1
OPPO	PKL110	1
motorola	moto e5 plus	3
vivo	vivo 2010	1
OPPO	PCNM00	2
Xiaomi	21051182G	30015
Xiaomi	24116RACCG	14694
HUAWEI	JAT-L41	1487
vivo	V2205	30475
HONOR	CLK-LX2	11224
TINNO	P780	2257
Xiaomi	23027RAD4I	3511
samsung	SM-G991N	4375
OPPO	CPH2359	8450
Xiaomi	M1908C3JGG	8168
samsung	SM-A750C	518
DEXP	K61	1212
Sonimtech	XP8800	444
vivo	vivo 1917	2842
samsung	SM-A426U1	583
motorola	Lenovo K15	545
LENOVO	Lenovo TB-8304F1	104
HUAWEI	EML-L29	4612
vivo	V2042	125
TCL	T614WS	164
INFINIX	Infinix X6815C	184
asus	ASUS_Z01RD	806
Zebra Technologies	TC26	194
Acer	Acer_One_10_T9-1212L	55
ARCHOS	ARCHOS T101 FHD 4G ULTRA	1435
samsung	SM-A205S	417
OPPO	OPD2303	1000
samsung	SM-T397U	184
Dghrti	TAB50_US	378
SUNWIND	Sky 8421D 4G SS8264PL	84
vivo	V2352A	194
TechPad	R10	85
JOYAR	SL1046	14
Sony	XQ-AU52	151
TCL	5030F	96
blackshark	SHARK KTUS-A0	69
WALTON	NEXG N74	63
HMD Global	M-KOPA X20	81
Premio	X75-2021	59
weelikeit	P16	67
realme	RMX1993	87
DOOGEE	T20Mini Kid	367
Xiaomi	M2104K10I	137
OnePlus	PJF110	122
samsung	SM-A505N	106
TCL	TE082M2	19
HTC	HTC 2Q7A100	26
OPPO	oppo6833	5
incar	Hope10 Pro	3
XGODY	R15_EEA	1
CHUWI	HiPad X	85
vivo	V1809A	1
HUAWEI	STK-AL00	4
Fortune Ship	NOTE 14	3
JOYAR	100011886A	19
Teclast	P30Air_EEA	16
SENWA	S50	19
Vertex	G1701	3
incar	Pritom_M50	3
CIDEA	CM818	1
incar	P60Pro	1
Plimpton	P60_Pro	1
DOOGEE	V Max Plus	1
samsung	SM-S938U	13507
HONOR	CRT-LX2	5020
Xiaomi	M2101K6P	7510
Xiaomi	24075RP89G	28136
samsung	SM-M215F	15929
samsung	SM-G990W2	2412
TECNO	TECNO KI7	28925
samsung	SM-F741B	6351
vivo	V2315	26454
Xiaomi	21091116I	3731
KYOCERA	S9-KC	110
HONOR	ROD2-W09	668
OnePlus	LE2115	655
OPPO	CPH1819	3774
Foxx Development Inc.	P8	105
Blackview	SHARK 8	1532
ITEL	itel S663LC	218
LENOVO	Lenovo TB-8505F	295
samsung	SM-M307FN	2213
realme	RMX3142	409
vivo	vivo 1918	335
OnePlus	CPH2647	54
BLU	G64	206
LGE	LGM-V300K	28
realme	RMX3851	554
HEADWOLF	F5	134
WALTON	Primo GH10	35
Xiaomi	Redmi 4	127
DANEW	Konnect_557	45
alps	K10	19
Casper	VIA X20	114
samsung	SM-T825C	5
Skyth	P1100	54
Skyth	A75	13
motorola	moto g86 5G	225
vsmart	Star 4	15
motorola	motorola edge 2025	51
Smart Products Connection SA	PET-10380-H628S	31
DOOGEE	S51	3
HXY	MP18	34
Xiaomi	24129PN74I	9
SLV10	SLV10	46
Fortune Ship	HTC A104	13
vivo	vivo NEX S	13
Nordic	FunPad-8Max	4
SKYEGG	K15_US	7
Xiaomi	Mi Max 2	4
CUBOT	KINGKONG MINI2 Pro	8
HUAWEI	JDN2-W09HN	3
Trecfone	16 Pro Max	2
HTC	HTC U24 pro	2
samsung	SM-P619	5461
RubensTab_T8	T8	72
Xiaomi	2109119DI	2539
realme	RMX2030	7050
samsung	SM-S906N	1279
OPPO	CPH2681	20304
incar	Masstel_Tab8_4G	560
Xiaomi	M2012K10C	311
COLORROOM	C3_Pro	3365
ADVAN	ADVAN 1011	318
TECNO	TECNO CLA5	6297
samsung	SM-A520S	88
OPPO	CPH2247	864
TCL	9081X	2542
Paitanry	R16 PRO	242
CWOWDEFU	C18W	362
Chinoe	HPPL63A	158
fezawio	F11_US	71
ZTE	ZTE A2022PG	21
alps	H5	120
samsung	SM-T727U	249
ADVANCE	TR8990	42
vivo	vivo 1823	423
incar	P40S_ROW	306
Xiaomi	2312DRA50C	233
Xiaomi	viva	208
asus	P028	12
Premier Code (PRIVATE) LIMITED	DS-BD3 Pro	282
Symphony	innova10	198
Lenovo	Lenovo L19041	35
ZTE	ZTE Blade A7 2020	227
S9 Ultra	S9 Ultra	224
H8	H8	60
samsung	SC-54B	130
OTEETO	TAB10	205
samsung	SM-A710M	82
DIGMA_PRO	Quantum TA2D5P01	15
DIGMA	Digma Pro HIT 14 HS1006PL	12
Sony	H3413	15
Lingbo	L8	40
ZSMART	ZSMART	1
SICO	Nile X	12
AirPad40PROMAX	AirPad40PROMAX	14
TECNO MOBILE LIMITED	TECNO CF8	5
alps	Max80	1
EagleSoar	EE-P30_EEA	1
Cidea	CM81	2
Q85	Q85	3
samsung	SM-T805S	2
Ulefone	Note 8	1
Hisense	Hisense Infinity H30	1
realme	RMX3561	352
LENOVO	Lenovo TB-J606F	6625
HUAWEI	MAR-LX1A	20425
Xiaomi	23100RN82L	33716
samsung	SM-A125M	12905
samsung	SM-S911U	26208
samsung	SM-T818	78
OPPO	CPH1717	512
Teclast	T60	1608
Blackview	BV4900	92
HAFURY	MEET	43
motorola	Lenovo K14 Plus	548
samsung	SM-G986N	702
NSD	T12S_ROW	62
DOOGEE	T10S	363
TECNO MOBILE LIMITED	TECNO KF6m	599
kiddoboo	KB101	584
WALTON	XANON X20	140
LFE	T7	28
CHUWI	HiPad Max	724
LENOVO	Lenovo TB-X605L	151
WALTON	Primo NX6	24
Teclast	M50-ROW	1660
LENOVO	TB320FC	133
Dcode Cypher	DS-CR1	48
Mobicel	Smart Tab 10 4G	553
TCL	T790Y	53
AllCall	HERO 20	249
INOI_Limited	T112	50
TCL	T676K	204
skythtek	IX90_CQA1103_EEA	35
Sony	I3312	33
Pad A18	Pad A18	30
SHARP	SHV44	58
ZTE	901ZT	62
vivo	I2408	1
BLU	C9	100
sprd	Ultrapad_UP10.S36LA	4
FOLG	S19	54
CWOWDEFU	C73W	16
TECNO MOBILE LIMITED	TECNO ID5a	15
samsung	SM-J415GN	41
Android	FIT-32	2
realme	RMX3061	51
unknown	Kids_tablet	14
Android	pad6s	39
SPA Condor Electronics	Plume L5	23
Foxx Development Inc	T8 Plus	31
OSCAL	FLAT 2	2
IKU	A11	4
Rakioo	X5	1
Multilaser	ML_GW0C_M10_4G	1
Xiaomi	2210132C	3
CM8500plus	CM8500plus	23
HIKING	A40	5
FOSSiBOT	A10.Super Pad LTE	2
Sony	G3426	4
ONYX	Palma	1
ATOZEE	CP10	1
EMDOOR	PicassoTab8s	2
Xiaomi	23108RN04Y	66281
HONOR	HEY2-N09	3497
realme	RMX3867	6909
realme	RMX3998	19931
realme	RMX3940	7768
vivo	V2338	22649
OPPO	A103OP	767
INFINIX MOBILITY LIMITED	Infinix X6816C	6939
realme	RMX3944	2681
vivo	V2228	2851
samsung	SM-G996U1	2400
samsung	SM-F956B	4760
samsung	SM-S931W	2064
samsung	SC-04L	665
HUAWEI	CLT-AL00	128
General Mobile	G312	393
Deploy PVT LTD	Sparx Neo 7 Pro	197
A96	A96	29
DOOGEE	S punk	56
samsung	SM-A253Q	150
samsung	SM-N9500	369
OPPO	CPH1987	135
Alldocube	iPlay_60	140
KENSHI	E28	472
samsung	SM-G9910	708
Logicom	ONIX	84
HMD Global	Nokia C20 Plus	170
INFINIX	Infinix X6725B	90
samsung	SM-P585N0	231
HUAWEI	PCT-AL10	97
Teclast	T40 Pro_EEA	382
UJJ	U6_US	128
Welcome	I25 ULTRA	17
samsung	SM-A505X	54
OPPO	PJY110	228
LGE	L-01K	79
Hisense	Hisense Infinity H60 Lite	18
fezawio	F10_US	8
incar	F3A	164
incar	AZIMUT 3 Lite	5
mediacom	1AZ2T	34
PREMIO	X95	15
DANDOON	A2	7
PAWBO	Max12	36
LT	LT-NOTE 30	32
wheatek	P13 Blue Max 2020	1
OSCAL	S60	13
OPPO A18	OPPO A18	1
vivo	vivo Y15s	6
CIDEA	CM925	8
ACE France	BUZZ 4 Ultra	4
TYD	TYD-109Pro	1
HUAWEI	NOH-NX9	24
Cidea	CM92	2
hena	M17QF7_4G	1
Plimpton	P2	1
samsung	SM-A556B	47180
ZTE	ZTE 7540N	664
TECNO	TECNO KL5	8340
samsung	SM-T878U	805
HIKING	A42	27
samsung	SM-A015M	4554
HMD Global	Nokia C21 Plus	727
HONOR	ELN2-L29	1236
realme	RMX2193	7512
vivo	I2208	6315
Android	Android	672
vivo	V2438	3624
FOSSiBOT	DT1	134
INFINIX MOBILITY LIMITED	Infinix X663	4832
Xiaomi	MI 8	3638
TCL	T609SPP	225
TCL	T442M	50
Alldocube	iPlay50_mini_Pro	819
motorola	moto e6s	215
HMD Global	Nokia 6.1 Plus	928
ACE France	BUZZ 6 Pro PLUS	13
OPPO	A201OP	1368
samsung	SM-T545	913
HUAWEI	d-01J	305
ATMPC	IT-801BA3	8
vivo	V2111-EG	248
TECNO MOBILE LIMITED	TECNO LE8	197
vivo	V2134	1135
Lenovo	Lenovo L38012	56
ACER	AX85	234
EGOBOO	EB101	492
L16 Max	L16 Max	688
Ulefone	Armor 25T Pro	73
General Mobile	General Mobile 4G Dual	6
ARCHOS	ARCHOS T80 HD WIFI	25
TCL	5164A	24
HUAWEI	BAH4-W09	115
skythtek	TGO_TB780i	45
Kalley	Black_G_2	67
rockchip	SB10MD2	15
GIONEE	GIONEE F9	8
Positivo	Twist Tab Kids	1
TG40	U2	11
Acepad	A131_14	37
nubia	NX609J	1
Gigaset	E940-2796-00	2
HUAWEI	HUAWEI CAN-L01	5
incar	U221	3
incar	MAXTRON Genio	5
TINNO	U6080AA	3
DMOAO	A30-T	1
DOOGEE	N30	4
alps	GT50 Pro Max	1
TECNO	TECNO KM4k	2
LENOVO	P1060X	1
ZTE	ZTE Blade A34	3636
samsung	SM-P613	35449
INFINIX	Infinix X6531B	10822
Xiaomi	2212ARNC4L	12932
Vortex	T10M	1276
vivo	V2141	16225
motorola	moto g13	12397
samsung	SM-S918U1	5396
motorola	motorola edge 60 stylus	868
TECNO MOBILE LIMITED	TECNO KG5k	7212
TCL	5032W	140
samsung	SM-A136S	811
vivo	V2158	6447
samsung	SM-C710F	553
Xiaomi	2201117SG	14453
Sony	SO-01L	330
TCL	5031D	126
CUBOT	KINGKONG POWER 3	18
asus	ASUS_X00TD	1336
samsung	SM-J600FN	1928
itel	itel P682LPN	778
Amazon	KFMAWI	443
FCNT	A402FC	170
Xiaomi	2305EPCC4G	1326
OPPO	CPH1821	471
Xiaomi	XIG04	303
TECNO MOBILE LIMITED	TECNO KG5h	368
samsung	SM-G532F	84
ZTE	ZTE Blade A33s	170
samsung	SC-54C	132
LANIX	Ilium_PAD_RX8v4	58
BKAV	Bphone A Series	57
incar	Bred	34
Xiaodu	XDH-25-B3	34
Google	Pixel 10 Pro Fold	105
HUAWEI	CMR-AL09	848
hena	SmartPad_K7	13
OPPO	CPH2023	56
Xiaomi	M2007J17C	121
LAVA	Z35	34
Xsmart	Xsmart Nova 7	58
OPPO	PDYM20	3
realme	RMX3617	9
NSD	T12_EEA	49
samsung	SM-T817T	7
Fplus	P670	15
ACE France	BUZZ 7 Prime PLUS	8
incar	MT-1011	61
Blackview	Tab 8	36
LENOVO	Lenovo L19111	65
INCAR	Q10_T_EEA	2
S30Pro	S30Pro	15
TablePC	XT50	2
Xiaomi	2109119BC	6
Skyth	Q10_EEA	3
Safaricom	Neon Ray Ultra	7
Xiaomi	23129RAA4G	31292
Xiaomi	M2101K7BG	13532
Xiaomi	220233L2G	14453
HUAWEI	POT-LX1	1860
samsung	SM-M135F	3872
samsung	SM-E146B	7051
OPPO	CPH2721	7496
vivo	V2022	4469
Xiaomi	M2010J19SY	13923
XGODY	V80J	1
LENOVO	Lenovo TB-8704X	714
HUAWEI	PAR-LX9	288
samsung	SCG32	140
asus	ZD552KL	211
vivo	V2413	1079
Xiaomi	23122PCD1I	1680
INFINIX	Infinix X6725	1682
HUAWEI	AGRK-W09	710
Yulong	cp3705A	43
vsmart	Joy 4	166
DIALN PRODUCTS INC	X8ULTRA	59
INFINIX MOBILITY LIMITED	Infinix X680D	299
asus	ASUS_I005D	88
vivo	vivo 1901_19	14
TechPad	TechPad_732	115
VOVE	TabA9	9
POWMUS	BDF	16
asus	ASUS_AI2401_C	237
LENOVO	Lenovo TB-8505FS	149
Lenovo	Lenovo L38111	66
Skyth	Z-F1010	190
alps	YT5760B	4
HUAWEI	GOA-LX9	147
OPPO	PCKM80	48
COLORROOM	E20	64
CHUWI	HiPadPlus	157
incar	YQ10S_Gold	121
incar	STAB7	22
IMG	STYLO ORION TAB 10 4G	36
incar	Tab-1	14
Hisense	Hisense Infinity H50S 5G	45
motorola	motorola one power	76
Pastigio	P15	41
TCL	T603DL	6
HMD Global	TA-1012	54
Google	asurada	13
UNIWA	W555	1
VANWIN	V62	24
Maxwest	NITRO A65	4
samsung	SM-T585N0	4
BUNDY	A65	2
vivo	PA2170	6
Sony	E6633	1
BLU	G43	5
QSmart	Blaze	11
Blackview	BV5200	1
MTT	L506	3
MobiWire	Airtel Imagine	5
KONROW	STAR55MAX	1
Cyrus	CM17XA	1
samsung	SM-T738U	6137
samsung	SM-A217F	65892
motorola	moto g play - 2023	9735
samsung	SM-G9650	4686
Google	Pixel 8a	28436
HUAWEI	JAT-LX1	4650
realme	RMX3081	6382
SSH Telecom SMC (Pvt.) Ltd	NEW 15	570
Xiaomi	2201122G	2043
samsung	SM-A910F	182
OnePlus	CPH2621	2631
vivo	vivo Y19	887
OSCAL	Pad 70 WiFi	459
INFINIX	Infinix X6826	1654
Xiaomi	23049PCD8I	764
HMD Global	TA-1003	32
incar	P60	667
Innovatech	EX7X4	53
BlackBerry	BBE100-4	60
HT10LA2MSGNA01	HT10LA2MSGNA01	199
D-TECH	DT10-TAB4G-T101	80
acer	ATABKD1024K	496
Mobicel	R9_Pro	28
Smart Products Connection SA	PET_10180_H464S	344
nubia	NP01J	113
CCIT	A103 Pro	3
DOOGEE	N55 Pro	339
TechPad	TechPad_832	94
Infinix	Infinix X559C	60
UNISOC	T1014G	304
Hisense	Hisense Infinity H40	113
INFINIX	Infinix X6726	1
myPhone	Hammer_IRON_3_LTE	33
Innovatech	S12	4
LGE	LM-K526	33
INOI	inoiPad Max	5
Amazon	KFYAWI	31
Aspera Mobile	AS8	4
incar	Klap_S1	7
meen	M60	1
Cidea	CM8300Plus	1
Stylos	IQU_T8_4G	3
HUAWEI	JEF-AN20	1
REVENGER	RG-TB08	1
RAVOZ	RAVOZ Z6 Pro	1
incar	TA-10-232	1
HUAWEI	CAM-L21	1
HUAWEI	TGR-W09	3689
HONOR	NTN-LX3	915
Xiaomi	2406APNFAG	9112
DOOGEE	S97Pro	318
Xiaomi	M2103K19PG	5186
samsung	SM-A307G	5213
Xiaomi	22081283G	24963
TECNO MOBILE LIMITED	TECNO LE7n	3185
TECNO	TECNO KH7n	5779
HYUNDAI	Ultra Shine	20
DOOGEE	V30Pro	421
FCNT	F-51C	219
vivo	V2108	394
LENOVO	Lenovo TB-8506FS	206
Xiaomi	2201123C	34
samsung	SM-G935F	5115
Xiaomi	Redmi Note 8  (2021)	18
HONOR	ELN-L03	1747
CUBOT	KINGKONG X PRO	248
Hisense	Hisense U61	952
CPSpeed	TONE_e22	95
UJJ	U3_US	95
HUAWEI	HUAWEI VNS-L31	256
HUAWEI	ALP-AL00	70
OUKITEL	WP23	233
MIX 4	MIX 4	61
samsung	SM-A320F	442
HIKING	A45	145
onn	100003561	110
samsung	SCG14	81
Fairphone	FP5	203
HXY	MP09	24
TOUCHMATE	TM-MID1080N	4
motorola	motorola edge (2021)	292
LT	LT P10I	23
Schok	Schok Volt SV55	116
Cherry	A870	23
CPAD8	CPAD8	1
Sony	H8324	37
FUJITSU	F-02L	23
Pixus	Pixus_Drive	11
samsung	SM-A600A	23
LGE	LG-H815	43
Novey	Kids Tab K10	1
Google	Samsung Chromebook Plus (V2)	5
DOOGEE	S96GT	14
hena	K105	7
TAPLET	Reno 13 Pro	11
samsung	SM-J727P	1
samsung	SM-S928Q	8
Sky_Devices	X63Max	1
E13-1	E13-1	2
Chinoe	A50	6
alps	SAMSUNG 8 INCH	1
Skyth	T13-US	1
UNO	NewPad 10	3
X-TIGI	Bison1	1
samsung	SM-P610	35121
samsung	SM-A256B	27014
vivo	V2023	1271
OPPO	CPH2127	26131
samsung	SM-S908E	23144
OPPO	CPH2015	18222
TCL	6125F	591
